Item;Oracion;Lenguaje
1;Tabla genealógica de Jesucristo , hijo de David, hijo de Abraham:;Esp
2;"Abraham fue el padre de Isaac; Isaac, padre de Jacob; Jacob, padre de Judá y de sus hermanos;";Esp
3;"Judá, padre de Fares y de Zera, cuya madre fue Tamar; Fares, padre de Jezrón; Jezrón, padre de Aram;";Esp
4;"Aram, padre de Aminadab; Aminadab, padre de Naasón; Naasón, padre de Salmón;";Esp
5;"Salmón, padre de Booz, cuya madre fue Rajab; Booz, padre de Obed, cuya madre fue Rut; Obed, padre de Isaí;";Esp
6;"e Isaí, padre del rey David. David fue el padre de Salomón, cuya madre había sido la esposa de Urías;";Esp
7;"Salomón, padre de Roboán; Roboán, padre de Abías; Abías, padre de Asá;";Esp
8;"Asá, padre de Josafat; Josafat, padre de Jorán; Jorán, padre de Uzías;";Esp
9;"Uzías, padre de Jotán; Jotán, padre de Acaz; Acaz, padre de Ezequías;";Esp
10;"Ezequías, padre de Manasés; Manasés, padre de Amón; Amón, padre de Josías;";Esp
11;y Josías, padre de Jeconías y de sus hermanos en tiempos de la deportación a Babilonia.;Esp
12;"Después de la deportación a Babilonia, Jeconías fue el padre de Salatiel; Salatiel, padre de Zorobabel;";Esp
13;"Zorobabel, padre de Abiud; Abiud, padre de Eliaquín; Eliaquín, padre de Azor;";Esp
14;"Azor, padre de Sadoc; Sadoc, padre de Aquín; Aquín, padre de Eliud;";Esp
15;"Eliud, padre de Eleazar; Eleazar, padre de Matán; Matán, padre de Jacob;";Esp
16;y Jacob, padre de José, que fue el esposo de María, de la cual nació Jesús, llamado el Cristo .;Esp
17;Así que hubo en total catorce generaciones desde Abraham hasta David, catorce desde David hasta la deportación a Babilonia y catorce desde la deportación hasta el Cristo.;Esp
18;El nacimiento de Jesús, el Cristo , fue así: su madre, María, estaba comprometida para casarse con José, pero, antes de unirse a él, resultó que estaba encinta por obra del Espíritu Santo.;Esp
19;Como José, su esposo, era un hombre justo y no quería exponerla a vergüenza pública, resolvió divorciarse de ella en secreto.;Esp
20;Pero, cuando él estaba considerando hacerlo, se le apareció en sueños un ángel del Señor y le dijo: «José, hijo de David, no temas recibir a María por esposa, porque ella ha concebido por obra del Espíritu Santo.;Esp
21;Dará a luz un hijo, y le pondrás por nombre Jesús, porque él salvará a su pueblo de sus pecados».;Esp
22;Todo esto sucedió para que se cumpliera lo que el Señor había dicho por medio del profeta:;Esp
23;«La virgen concebirá y dará a luz un hijo, y lo llamarán Emanuel» (que significa «Dios con nosotros»).;Esp
24;Cuando José se despertó, hizo lo que el ángel del Señor le había mandado y recibió a María por esposa.;Esp
25;Pero no tuvo relaciones conyugales con ella hasta que dio a luz un hijo, a quien le puso por nombre Jesús.;Esp
26;Después de nacer Jesús en Belén de Judea en tiempos del rey Herodes, he aquí llegaron a Jerusalén unos sabios procedentes del Oriente.;Esp
27;?¿Dónde está el que ha nacido rey de los judíos? —preguntaron—. Vimos salir su estrella y hemos venido a adorarlo.;Esp
