Item;Oracion;Lenguaje
1;Anuu nanülia na kooꞌuliwoꞌukana Jesucristo chi nuuꞌuliwoꞌukai David chi nuuꞌuliwoꞌukai Abraham:;guc
2;Abraham, nüshi Isaac. Isaac, nüshi Jacob. Jacob, nashi Judá namaa na nuwalayuukana.;guc
3;Judá, nashi Fares ooꞌulaka Zara. Tamar sünülia tü neikat. Fares, nüshi Esrom. Esrom, nüshi Aram.;guc
4;Aram, nüshi Aminadab. Aminadab, nüshi Naasón. Naasón, nüshi Salmón.;guc
5;Salmón, nüshi Booz. Rahab sünülia tü niikat. Booz, nüshi Obed. Rut sünülia tü niikat. Obed, nüshi Isaí.;guc
6;Isaí, nüshi David chi aluwataashikai. David, nüshi Salomón. Je tü niikat, shia tü nuꞌwayuusekat paala Urías.;guc
7;Salomón, nüshi Roboam. Roboam, nüshi Abías. Abías, nüshi Asa.;guc
8;Asa, nüshi Josafat. Josafat, nüshi Joram. Joram, nüshi Uzías.;guc
9;Uzías, nüshi Jotam. Jotam, nüshi Acaz. Acaz, nüshi Ezequías.;guc
10;Ezequías, nüshi Manasés. Manasés, nüshi Amón. Amón, nüshi Josías.;guc
11;Josías, nashi Jeconías je na nuwalayuukana wanaa sümaa noꞌuninnüin na wayuu Israelkana suluꞌumüin tü mmakat Babilonia.;guc
12;Anuu nanülia na kooꞌuliwoꞌukana Jesucristo süchikijee noꞌuninnüin na wayuu Israelkana Babiloniamüin: Jeconías, nüshi Salatiel. Salatiel, nüshi Zorobabel.;guc
13;Zorobabel, nüshi Abiud. Abiud, nüshi Eliaquim. Eliaquim, nüshi Azor.;guc
14;Azor, nüshi Sadoc. Sadoc, nüshi Aquim. Aquim, nüshi Eliud.;guc
15;Eliud, nüshi Eleazar. Eleazar, nüshi Matán. Matán, nüshi Jacob.;guc
16;Jacob, nüshi José chi suꞌwayuusekai María tü niikat Jesús, chi Cristokai anülia.;guc
17;Eesü poloo pienchimüin shiꞌipapaꞌa nutuushiirua Jesucristo nüchikijee Abraham nünainmüin David. Je eesü poloo pienchimüin shiꞌipapaꞌa nutuushiirua nüchikijee David sünainmüin tü oꞌuninnaakat Babiloniamüin. Je eesü poloo pienchimüin shiꞌipapaꞌa nutuushiirua süchikijee tü oꞌuninnaakat Babiloniamüin nünainmüin Cristo chi Nüneekajalakai Maleiwa.;guc
18;Otta nüchiki Jesucristo sünain jemelinjachin, müsü mayaa: María, tü niikat, achuntuushiirü shia nütüma wane wayuu José anüliai süpüla nuꞌwayuusee. Otta nnojoliiwaꞌaya José sünainpünaain, ipootkalaka shia sütüma nüpülain chi Naaꞌinkai Maleiwa.;guc
19;Otta José chi sümüraajüinkai, saaꞌu lotüin nukuaippa nuꞌupala Maleiwa, je saaꞌu nnojolüin nücheküin süpüleerua saapülijünüinjatüin sütüma wayuu süpüshua, anasü nümüin nuuꞌulaale shia sujuuna wayuu.;guc
20;Otta wanaa sümaa jülüjüin naaꞌin José tü naaꞌinrüinjatkat süka María, antüshi wane aapiee nümaꞌanajeejachi Maleiwa nünainmüin nüꞌlapüinruꞌu sünain maa nümüin: “Josée, nuuꞌuliwoꞌukai David, nnojo mmolüin pia saaꞌu María, puꞌwayuuse pümata. Ipootsü shia sütüma nüpülain chi Naaꞌinkai Maleiwa.;guc
21;Jemeyuleerü shia nümaa wane joꞌuu toolo je piꞌitaajeerü nünülia chi joꞌuukai Jesúsüin süka niainjachin oꞌtteꞌerüin tü nüpüshikalüirua suulia saainjala”, nümakalaka chi aapieekai nümüin José.;guc
22;Alatüsü tüü süpüla keraainjatüin tü nünüikikat chi Maleiwakai aküjünakat paala nütüma wane nünüikimaajachi, tü makat:;guc
23;“Wane majayülü, nnojotkat nünainpünaain wayuu toolo, ipooleerü shia, jemeyuleerü shia nümaa wane joꞌuu toolo je neꞌitaajeerü nünülia chi joꞌuukai Emanuel”. (“Eeshi Maleiwa wamaa”, maluꞌut tia.);guc
24;Shiasa nüchijiraapa José, naaꞌinrüin tü nuluwataakat anain chi aapieekai sünain naapaain María süpüla nuꞌwayuusein.;guc
25;Otta nnojoishi nia sünainpünaain waneꞌereꞌeya jemeyutpa shia nümaa chi süchonkai. Je nujuittapa chi süchonkai, niꞌitaakalaka nünülia Jesúsüin.;guc
26;Wanaa sümaa jemelin Jesús suluꞌu tü pueulokat Belén suluꞌu tü mmakat Judea, nia aluwataaka Herodes suluꞌu tü mmakat. Shiasa süchikijee jemelin nia, antüsü wane wayuuirua suluꞌumüin tü pueulokat Jerusalén. Wattajeꞌewalii naya, wüinpujeꞌewalii. Atüjaashii naya saaꞌu sukuaippa tü jolotsükat.;guc
27;Nasakirakalaka: —¿Jalashi chi joꞌuu jemeikai aluwataainjachikai saaꞌu tü wayuu judíokolüirua? Weꞌrüitpa wane jolotsü eweetüsü wanaa sümaa chajanain waya wüinpümüin, watüjaakalaka saaꞌu sünain jemelichipain nia, wantüinakalaka jooluꞌu yaamüin süpüla weeꞌiyatüinjatüin nujut nümüin —namakalaka.;guc
28;Otta müshia Herodes chi aluwataashikai, ooꞌulaka wainma tü kepiasükalüirua suluꞌu Jerusalén, ashapapajaasü maꞌi naaꞌin naapapa süchiki tü namakat nala wayuukana.;guc
29;Neenajitkalaka Herodes napüshua na laülaayuushiikana naꞌakajee na sacerdote judíokana ooꞌulaka na karalouktamaajanakana süpüla nüsakirüinjanain naya sünain jalainjachin jemelin Cristo chi Nüneekajalakai Maleiwa.;guc
30;Nasouktakalaka nümüin: —Jemeijeechi nia suluꞌu tü pueulokat Belén suluꞌu tü mmakat Judea, naashin wane nünüikimaajachi Maleiwa sünain nüshajüin paala tü nünüikikat, sünain maa:;guc
31;“Tü pueulokat Belén suluꞌu tü mmakat Judea, nnojotsü shiainjatüin neꞌe wane pueulo meꞌnnaajuusat saꞌaka tü pueulokalüirua chaꞌaya. Süka jamüin, eweeteechi yaa suluꞌu wane aluwataai süpüla niainjachin süpüꞌüyain tü tapüshikalüirua, na wayuu Israelkana”.;guc
32;Neenakakalaka Herodes na wayuu wüinpujeꞌewaliikana süpüla naashajaainjachin namaa sujuuna wayuu sooꞌopünaa joujatüin maꞌi shiweetüin tü jolotsü neꞌrakat paala. Süküjünakalaka nümüin natüma.;guc
33;Nüjütakalaka naya Belénmüin sünain nümüin namüin: —Juꞌuna jumaala süpüla jüchajaainjachin nüchiki chi joꞌuukai. Je jüntapa nünain, jaapiramaateechi taya nüchiki süpüla toꞌunüinjachin nünainmüin tayakaꞌiya süpüla teeꞌiyatüinjatüin nujut nümüin —nümakalaka Herodes namüin.;guc
34;Oꞌuna müshiꞌiya naya süchikijee naapüin nünüiki Herodes. Je tü jolotsü neꞌrapüꞌükat wanaa sümaa chajanain naya wüinpümüin, oꞌunüsü jooluꞌu napüleerua sünain süshaꞌwalaain iipünaa saaꞌu tü miichikat eere chi joꞌuukai.;guc
35;Talatashaanasü maꞌi naaꞌin süka neꞌrüin tü jolotsükat.;guc
36;Je nantapa eemüin tü miichikat, eeshi napüla chi joꞌuukai sümaa tü niikat. Noꞌnnuwaakalaka süka nasapain süpüla neeꞌiyatüin nujut nümüin. Naakatakalaka shirouse tü juraskeerü kaluꞌukot tü nakoloinkat nepialuꞌujee nümüin chi joꞌuukai. Nasülajakalaka kasa eekai kojutüin maꞌi: ooro, wane wunuꞌu jemeta eejuut, je wane wunuꞌu kanüliasü “mirra”.;guc
37;Shiasa noꞌunapa süpüla naleꞌejüinjanain noumainpaꞌamüin, eitaashii suluꞌupünaa wane wopu naatajatü. Nnojoliishii alatapünaain Jerusalénpünaa süka naapinnüin naꞌlapüinruꞌu nnojoliinjanain naleꞌejüin nünainmüin Herodes.;guc
38;Shiasa süchikijee noꞌunapa na wayuu wüinpujeꞌewaliikana, eweetüshi wane aapiee nümaꞌanajeejachi Maleiwa nümüin José nüꞌlapüinruꞌu sünain nümüin nümüin: “Püchijiraa maala süpüla pümaainjachin chi joꞌuukai sümaa tü niikat chamüin suluꞌumüin tü mmakat Egipto süpüla jujuittüinjanain nuulia Herodes. Nüchajaweechi achiki chi joꞌuukai süpüla nuꞌutüinjachin naaꞌin. Anakaja makatüle jia chaꞌaya waneꞌereꞌeya jaapinnapa tatüma”, nümakalaka chi aapieekai nümüin José.;guc
39;Nüchijiraakalaka José sünain nujuittüin nümaa chi joꞌuukai je tü niikat süseꞌeruꞌupünaa ai sünain noꞌunüin Egiptomüin;guc
40;eeinjanale kepiain naya waneꞌereꞌeya ouktapa Herodes. Alatüsü tüü süpüla keraainjatüin tü nünüikikat chi Maleiwakai aküjünakat paala nütüma wane nünüikimaajachi, tü makat: “Teenaküin chi Tachonkai suluꞌujee tü mmakat Egipto”.;guc
41;Je nütüjaapa saaꞌu Herodes sünain nemeꞌerainpalain nia na wayuu wüinpujeꞌewaliikana, jashichishaatashi maꞌi nia. Nuꞌutirakalaka naaꞌin na tepichi tooloyuuchonniikana eekai motsoyünnuuin suulia piama juya suluꞌu tü pueulokat Belén je pejepünaa sünain. Tü sotokot naaꞌin, shia tü naashajalakat paala namaa na wayuu wüinpüjeꞌewaliikana sooꞌopünaa joujatüin maꞌi eweetüin tü jolotsü neꞌrakat paala.;guc
42;Alatüsü tüü süpüla keraainjatüin tü nünüikikat chi Maleiwakai aküjünakat paala nütüma Jeremías chi nünüikimaajachikai, tü makat:;guc
43;“Aapünüsü shiꞌira wane wayuuirua sünain shiꞌyalajüin maꞌi yaa suluꞌu tü pueulokat Ramá. Aꞌyalajüsü tü suuꞌuliwoꞌukalüirua Raquel naaꞌu na süchooinkana. Nayoukta achikit amüliannaa süka ouktüin naya”.;guc
44;Shiasa süchikijee ouktapa Herodes, eweetüshi chaꞌaya Egipto wane aapiee nümaꞌanajeejachi Maleiwa nümüin José nüꞌlapüinruꞌu;guc
45;sünain nümüin nümüin: “Püchijiraa maala süpüla pümaainjachin chi jintüikai sümaa tü niikat nachikua chamüin suluꞌumüin tü mmakat Israel. Na oꞌuteepüꞌükana naaꞌin chi jintüikai, ouktüinapa”.;guc
46;Nüchijiraakalaka José sünain nujuittüin nümaa chi jintüikai je tü niikat süpüla oꞌunaa suluꞌumüin tü mmakat Israel.;guc
47;Mmotshi José seema ekerolaa suluꞌumüin tü mmakat Judea süka naapüin nüchiki chi nüchonkai Herodes kanüliakai Arquelao sünain nuluwataain chaꞌaya süchikijee ouktüin chi nüshikai. Je José, süka achiajaanüin nüꞌlapüinruꞌu suulia ekerolaa chamüin, oꞌuna müshia chamüin suluꞌumüin tü mmakat Galilea.;guc
48;Je nüntapa chaꞌaya, oꞌunüshi suluꞌumüin wane pueulo kanüliasü Nazaret süpüla kepiainjanain naya chaꞌaya. Alatüsü tüü süpüla keraainjatüin tü nünüikikat chi Maleiwakai aküjünakat paala natüma na nünüikimaajanakana, tü makat: “Nazaretjeꞌewai chii”.;guc
